Date,Open,High,Low,Close,Adj Close,Volume
2019-09-27,155.449997,156.500000,154.600006,155.889999,155.889999,103500
2019-09-30,154.179993,156.369995,154.039993,155.699997,155.699997,49700
2019-10-01,155.179993,155.339996,153.619995,154.699997,154.699997,30000
2019-10-02,148.740005,149.029999,146.899994,147.630005,147.630005,87200
2019-10-03,148.500000,149.000000,147.500000,148.830002,148.830002,17900
2019-10-04,148.399994,149.970001,148.139999,149.970001,149.970001,20700
2019-10-07,149.070007,150.080002,148.949997,149.830002,149.830002,16800
2019-10-08,149.449997,149.449997,147.839996,148.149994,148.149994,18700
2019-10-09,152.039993,153.770004,151.740005,153.759995,153.759995,32300
2019-10-10,152.250000,154.089996,151.940002,153.589996,153.589996,19800
2019-10-11,153.600006,155.289993,153.600006,154.270004,154.270004,17500
2019-10-14,154.169998,155.169998,153.860001,154.820007,154.820007,18700
2019-10-15,157.419998,158.789993,156.990005,158.160004,158.160004,17100
2019-10-16,155.990005,156.710007,155.399994,155.979996,155.979996,38900
2019-10-17,157.339996,157.649994,156.820007,157.289993,157.289993,20200
2019-10-18,155.339996,157.679993,155.210007,157.550003,157.550003,40900
2019-10-21,155.809998,158.309998,155.809998,158.199997,158.199997,103100
2019-10-22,155.570007,156.330002,155.089996,155.320007,155.320007,56000
2019-10-23,151.300003,153.330002,151.169998,153.289993,153.289993,23500
2019-10-24,151.619995,152.100006,151.330002,151.789993,151.789993,45500
2019-10-25,152.750000,152.750000,152.199997,152.389999,152.389999,15400
