Date,Open,High,Low,Close,Adj Close,Volume
2019-09-27,5.090000,5.530000,4.760000,5.025000,5.025000,13909900
2019-09-30,5.390000,5.430000,5.040000,5.185000,5.185000,10003500
2019-10-01,5.440000,5.790000,5.260000,5.280000,5.280000,10761800
2019-10-02,5.310000,5.330000,4.965000,5.130000,5.130000,5325500
2019-10-03,4.240000,4.280000,3.801000,4.155000,4.155000,36389900
2019-10-04,4.160000,4.240000,3.920000,3.970000,3.970000,10455000
2019-10-07,3.980000,3.990000,3.700000,3.700000,3.700000,10641900
2019-10-08,3.750000,3.760000,3.400000,3.440000,3.440000,10769100
2019-10-09,3.500000,3.560000,3.400000,3.505000,3.505000,8389300
2019-10-10,3.540000,3.580000,3.250000,3.380000,3.380000,10329000
2019-10-11,3.410000,3.830000,3.410000,3.740000,3.740000,15300900
2019-10-14,3.750000,3.850000,3.610000,3.640000,3.640000,4173800
2019-10-15,3.700000,3.750000,3.625000,3.660000,3.660000,3455700
2019-10-16,3.650000,3.705000,3.620000,3.670000,3.670000,2419100
2019-10-17,3.660000,3.800000,3.650000,3.800000,3.800000,3324000
2019-10-18,3.800000,3.818000,3.575000,3.610000,3.610000,3946000
2019-10-21,3.690000,3.690000,3.620000,3.650000,3.650000,2626400
2019-10-22,3.630000,3.870000,3.600000,3.770000,3.770000,4071400
2019-10-23,3.760000,3.890000,3.730000,3.880000,3.880000,3034000
2019-10-24,3.900000,3.910000,3.760000,3.850000,3.850000,2541300
2019-10-25,3.850000,3.990000,3.840000,3.960000,3.960000,3073900
