Date,Open,High,Low,Close,Adj Close,Volume
2019-08-26,4.010000,4.070000,3.875000,3.960000,3.960000,3195300
2019-08-27,3.990000,3.990000,3.820000,3.870000,3.870000,3468700
2019-08-28,3.860000,3.930000,3.780000,3.900000,3.900000,1952200
2019-08-29,4.000000,4.000000,3.900000,3.930000,3.930000,2509500
2019-08-30,3.940000,3.960000,3.830000,3.870000,3.870000,2482700
2019-09-03,3.830000,3.850000,3.620000,3.820000,3.820000,6363500
2019-09-04,3.820000,3.960000,3.790000,3.910000,3.910000,4493700
2019-09-05,3.950000,4.120000,3.950000,4.090000,4.090000,3512200
2019-09-06,4.110000,4.150000,4.080000,4.120000,4.120000,2052100
2019-09-09,4.160000,4.455000,4.160000,4.360000,4.360000,5149400
2019-09-10,4.370000,4.730000,4.370000,4.620000,4.620000,5311600
2019-09-11,4.640000,4.730000,4.540000,4.670000,4.670000,3043000
2019-09-12,4.660000,4.680000,4.510000,4.560000,4.560000,2307500
2019-09-13,4.570000,4.650000,4.530000,4.560000,4.560000,2280800
2019-09-16,4.580000,4.765000,4.570000,4.640000,4.640000,2402100
2019-09-17,4.620000,4.620000,4.460000,4.570000,4.570000,2044100
2019-09-18,4.520000,4.620000,4.460000,4.520000,4.520000,2237600
2019-09-19,4.510000,4.630000,4.500000,4.560000,4.560000,2148700
2019-09-20,4.550000,4.680000,4.530000,4.660000,4.660000,2848800
2019-09-23,4.640000,4.855000,4.620000,4.770000,4.770000,2486700
2019-09-24,4.680000,4.720000,4.430000,4.470000,4.470000,3641800
2019-09-25,4.480000,4.700000,4.460000,4.620000,4.620000,2846200
2019-09-26,4.620000,4.790000,4.620000,4.680000,4.680000,2595500
2019-09-27,5.090000,5.530000,4.760000,5.025000,5.025000,13909900
2019-09-30,5.390000,5.430000,5.040000,5.185000,5.185000,10003500
2019-10-01,5.440000,5.790000,5.260000,5.280000,5.280000,10761800
2019-10-02,5.310000,5.330000,4.965000,5.130000,5.130000,5325500
