Date,Open,High,Low,Close,Adj Close,Volume
2018-09-26,121.599998,123.470001,121.599998,122.639999,121.016022,31100
2018-09-27,123.220001,123.709999,122.800003,122.940002,121.312050,20600
2018-09-28,121.629997,122.660004,121.629997,122.160004,120.542381,14500
2018-10-01,124.099998,124.099998,123.440002,123.610001,121.973175,13100
2018-10-02,122.870003,123.370003,122.779999,123.019997,121.390984,22700
2018-10-03,123.470001,123.989998,122.980003,123.489998,121.854767,33700
2018-10-04,121.709999,121.779999,119.949997,120.459999,118.864891,22900
2018-10-05,119.610001,120.099998,118.949997,119.589996,118.006409,25100
2018-10-08,117.980003,119.000000,117.879997,118.870003,117.295944,16400
2018-10-09,115.849998,117.720001,115.820000,117.410004,115.855278,30100
2018-10-10,113.440002,113.440002,111.410004,111.550003,110.072876,44900
2018-10-11,112.379997,112.720001,110.449997,111.279999,109.806450,32800
2018-10-12,112.870003,112.870003,110.470001,111.699997,110.220886,44800
2018-10-15,112.470001,113.309998,112.379997,112.959999,111.464203,32300
2018-10-16,114.980003,116.150002,114.980003,116.150002,114.611961,30100
2018-10-17,116.839996,117.050003,115.919998,116.309998,114.769844,26800
2018-10-18,115.010002,115.410004,113.260002,113.389999,111.888512,20800
2018-10-19,117.379997,117.650002,116.260002,116.709999,115.164543,20400
2018-10-22,114.940002,115.379997,114.260002,115.199997,113.674538,31400
2018-10-23,113.629997,114.750000,112.760002,114.470001,112.954208,46500
2018-10-24,115.910004,116.309998,113.440002,113.440002,111.937851,22400
2018-10-25,115.570000,118.279999,115.570000,117.790001,116.230247,22000
2018-10-26,115.459999,116.910004,114.129997,116.190002,114.651436,17400
2018-10-29,117.150002,117.599998,115.489998,116.199997,114.661293,23900
2018-10-30,115.099998,115.809998,114.339996,115.230003,113.704147,22200
2018-10-31,117.930000,118.580002,117.570000,117.889999,116.328918,33300
2018-11-01,116.730003,117.550003,116.120003,116.690002,115.144814,36500
2018-11-02,118.320000,118.980003,117.389999,118.230003,116.664421,51800
2018-11-05,117.510002,118.660004,117.260002,118.300003,116.733498,162400
2018-11-06,116.849998,118.190002,116.769997,118.010002,116.447334,176000
2018-11-07,116.050003,116.050003,113.949997,114.510002,112.993683,81200
2018-11-08,115.580002,115.580002,113.959999,114.120003,112.608849,32600
2018-11-09,115.339996,116.120003,115.050003,116.099998,114.562622,57100
2018-11-12,114.070000,114.070000,113.360001,113.660004,112.154938,221100
2018-11-13,115.389999,116.970001,115.190002,116.260002,114.720505,81800
2018-11-14,117.639999,117.639999,115.699997,116.540001,114.996796,24300
